Rk,G,Date,Age,Tm,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
42,42,1995-03-14,33-305,SAS,MIN,W (+15),1,31:00,4,4,1.000,0,0,,3,4,.750,2,12,14,3,3,0,4,5,11,13.5
43,43,1995-03-18,33-309,SAS,DAL,W (+10),1,34:00,1,4,.250,0,0,,2,2,1.000,6,8,14,0,0,0,0,3,4,7.0
44,44,1995-04-14,33-336,SAS,SAC,W (+10),0,22:00,2,4,.500,0,0,,2,2,1.000,5,10,15,2,1,0,1,3,6,10.7
45,45,1995-04-16,33-338,SAS,DEN,W (+3),0,19:00,0,0,,0,0,,2,2,1.000,2,8,10,0,0,0,1,6,2,2.4
46,46,1995-04-18,33-340,SAS,DEN,W (+11),0,34:00,2,6,.333,0,0,,1,2,.500,1,12,13,2,0,2,0,3,5,7.1
47,47,1995-04-20,33-342,SAS,DAL,W (+1),0,9:00,2,2,1.000,0,0,,0,2,.000,3,1,4,0,0,0,0,2,4,4.2
48,48,1995-04-21,33-343,SAS,LAC,W (+11),0,29:00,2,4,.500,0,0,,2,2,1.000,7,10,17,2,0,1,1,2,6,12.2
49,49,1995-04-23,33-345,SAS,MIN,W (+6),1,37:00,5,5,1.000,0,0,,0,0,,7,9,16,1,3,0,5,2,10,14.0
1,1,1995-04-28,33-350,SAS,DEN,W (+16),1,26:00,1,6,.167,0,0,,1,2,.500,3,8,11,1,0,0,1,4,3,1.4
2,2,1995-04-30,33-352,SAS,DEN,W (+26),1,32:00,7,10,.700,0,0,,5,6,.833,6,10,16,1,1,0,2,3,19,20.1
3,3,1995-05-02,33-354,SAS,DEN,W (+4),1,36:00,4,5,.800,0,0,,0,4,.000,7,6,13,1,0,0,1,5,8,8.9
4,4,1995-05-06,33-358,SAS,LAL,W (+16),1,31:00,2,6,.333,0,0,,2,2,1.000,2,10,12,1,0,0,0,3,6,6.5
