Name,Salary
Shawn Kemp,10780000
Zydrunas Ilgauskas,9000000
Wesley Person,4900000
Danny Ferry,4000000
Bob Sura,3760000
Lamond Murray,3000000
Cedric Henderson,2400000
Mark Bryant,2000000
Andre Miller,1682280
Andrew DeClercq,1680000
Trajan Langdon,1394280
Brevin Knight,1234080
Ryan Stack,385000
Benoit Benjamin,123529
A.J. Bramlett,118974
Mark Hendrickson,62764
Kornel David,27059
