Name,Salary
Shawn Bradley,7560000
Michael Finley,7200000
Steve Nash,5500000
Robert Pack,4050000
Cedric Ceballos,3500000
Erick Strickland,2240000
Gary Trent,2000000
Hot Rod Williams,1925000
Sean Rooks,1920000
Dirk Nowitzki,1583040
Hubert Davis,752500
Ansu Sesay,535000
Leon Smith,449920
Bruno Sundov,385000
Randell Jackson,115500
Rick Hughes,115423
Damon Jones,106441
Greg Buckner,47647
Kebu Stewart,18941
Ira Bowman,4529
Kevin Ollie,2853
Jason Sasser,2706
