Name,Salary
Antonio McDyess,9900000
Nick Van Exel,8354614
Bryant Stith,5290000
Chris Gatling,4875200
Raef LaFrentz,2777160
Popeye Jones,2531250
George McCloud,2000000
Cory Alexander,1980000
Tariq Abdul-Wahad,1594920
Keon Clark,1289400
James Posey,974520
Dwayne Schintzius,550000
Roy Rogers,485000
Ryan Bowen,301875
Chris Herren,301875
