Name,Salary
Patrick Ewing,15000000
Larry Johnson,11910714
Latrell Sprewell,9000000
Allan Houston,8000000
Chris Dudley,7100000
Marcus Camby,5250000
Charlie Ward,4540000
Chris Childs,4160000
John Wallace,2000000
Kurt Thomas,1925000
Frederic Weis,947200
Mirsad Turkcan,830745
Andrew Lang,510000
David Wingate,510000
Rick Brunson,485000
DeMarco Johnson,111871
Jimmy Oliver,7471
