Name,Salary
Antoine Walker,9000000
Kenny Anderson,6680000
Vitaly Potapenko,3810000
Dana Barros,3500000
Eric Williams,3336000
Greg Minor,2880000
Pervis Ellison,2750000
Tony Battie,2530920
Walter McCarty,2500000
Dino Radja,2270500
Calbert Cheaney,2000000
Danny Fortson,1678800
Paul Pierce,1503960
Eric Washington,550000
Doug Overton,492000
Adrian Griffin,385000
Marty Conlon,229059
Wayne Turner,30000
Jamel Thomas,26636
