Name,Salary
Kevin Garnett,16806300
Terrell Brandon,7400000
Dean Garrett,2520000
Anthony Peeler,2495500
Joe Smith,2100000
Wally Szczerbiak,2011440
Sam Mitchell,2000000
Tom Hammonds,1800000
William Avery,1196520
Malik Sealy,1100000
Rasho Nesterovic,1050240
Bobby Jackson,903360
James Robinson,510000
Andrae Patterson,385000
Danny Schayes,211765
Lou Roe,97412
Eric Riley,50206
Trevor Winter,4529
