Joe Johnson,12000000
Al Harrington,6957500
Zaza Pachulia,4000000
Marvin Williams,3883560
Tyronn Lue,3500000
Tony Delk,3375000
Josh Childress,2677200
Jason Collier,1650000
Josh Smith,1365360
John Edwards,1000000
Salim Stoudamire,675000
Royal Ivey,641748
Donta Smith,641748
Esteban Batista,398762
John Thomas,178675
