Gilbert Arenas,8536000
Jerry Stackhouse,6906250
Christian Laettner,5625000
Larry Hughes,5000600
Brevin Knight,5000000
Kwame Brown,4252080
Etan Thomas,2200942
Jarvis Hayes,1748760
Jared Jeffries,1714440
Juan Dixon,1260360
Brendan Haywood,1125360
Chris Whitney,1070000
Mitchell Butler,876179
Steve Blake,366931
