Shawn Marion,13700000
Steve Nash,9625000
Kurt Thomas,6620062
Howard Eisley,5635417
Raja Bell,4250000
Jim Jackson,2640000
Amar'e Stoudemire,2589023
James Jones,2400000
Brian Grant,1670000
Boris Diaw,1174200
Leandro Barbosa,930600
Eddie House,835810
Pat Burke,750000
Dijon Thompson,398762
Jared Reiner,242612
Sharrod Ford,116711
Josh Davis,43864
Lucas Tischer,4863
