Date,MP
1999-11-02,21:49
1999-11-03,2:19
1999-11-05,3:19
1999-11-06,12:35
1999-11-09,0:12
1999-11-13,15:27
1999-11-16,11:35
1999-11-17,6:42
1999-11-27,5:30
1999-12-01,9:48
1999-12-03,5:04
1999-12-09,9:00
1999-12-17,2:57
1999-12-23,5:59
2000-01-03,2:37
2000-03-08,2:00
2000-03-16,0:15
2000-03-24,13:53
2000-04-01,4:24
