Name,Salary
Elden Campbell,7975000
Derrick Coleman,7370000
Anthony Mason,4860100
Bobby Phills,4060000
Baron Davis,2712480
David Wesley,2520000
Eddie Jones,2500000
Dale Ellis,2095250
Eldridge Recasner,1100000
Ricky Davis,878160
Eddie Robinson,600000
Chucky Brown,510000
Todd Fuller,485000
Michael Hawkins,465029
Brad Miller,385000
Derek Hood,49721
Tyrone Grant,37290
Jason Miskiri,15982
