Name,Salary
Chris Webber,11000000
Vlade Divac,8837774
Nick Anderson,5051906
Corliss Williamson,3560000
Lawrence Funderburke,2400000
Jason Williams,1879920
Kevin Gamble,1868750
Peja Stojakovic,1310400
Scot Pollard,1000000
Jon Barry,800000
Darrick Martin,572500
Tyrone Corbin,510000
Bill Wennington,510000
Tony Delk,485000
Ryan Robertson,301875
Art Long,25000
