Rk,G,Date,Age,Tm,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1990-11-02,29-173,DET,MIL,W (+11),0,27:00,3,5,.600,0,0,,1,2,.500,5,6,11,3,0,0,2,2,7,8.9
2,2,1990-11-03,29-174,DET,CLE,W (+9),0,27:00,2,4,.500,0,0,,0,0,,5,4,9,0,1,0,2,4,4,4.1
3,3,1990-11-06,29-177,DET,SEA,L (-8),0,21:00,1,3,.333,0,0,,2,2,1.000,2,1,3,0,1,0,0,6,4,2.6
4,4,1990-11-07,29-178,DET,LAC,W (+27),0,28:00,3,3,1.000,0,0,,1,2,.500,5,6,11,1,1,1,0,3,7,12.2
5,5,1990-11-09,29-180,DET,POR,L (-12),0,27:00,2,3,.667,0,0,,1,3,.333,6,6,12,2,1,1,1,4,5,9.4
6,6,1990-11-13,29-184,DET,MIA,W (+25),1,29:00,2,5,.400,0,0,,1,2,.500,5,4,9,5,3,0,2,2,5,10.3
7,7,1990-11-16,29-187,DET,NJN,W (+9),1,29:00,3,5,.600,0,0,,2,3,.667,2,6,8,0,3,1,1,5,8,9.2
8,8,1990-11-17,29-188,DET,ATL,W (+8),1,24:00,1,5,.200,1,1,1.000,1,2,.500,3,5,8,3,0,2,0,2,4,6.8
9,9,1990-11-20,29-191,DET,MIA,W (+16),1,15:00,0,0,,0,0,,0,0,,0,3,3,0,0,0,1,2,0,-0.9
10,10,1990-11-21,29-192,DET,IND,W (+8),1,34:00,2,5,.400,0,0,,0,0,,5,9,14,1,0,0,1,6,4,4.8
11,11,1990-11-23,29-194,DET,WSB,W (+9),1,26:00,3,8,.375,0,0,,0,2,.000,6,9,15,1,0,2,2,2,6,7.0
12,12,1990-11-25,29-196,DET,SAC,W (+13),1,29:00,0,0,,0,0,,0,0,,2,11,13,0,0,0,0,3,0,3.5
13,13,1990-11-27,29-198,DET,ATL,W (+23),1,24:00,3,3,1.000,0,0,,0,0,,4,10,14,3,1,0,2,3,6,10.8
14,14,1990-11-28,29-199,DET,NYK,W (+7),1,30:00,2,4,.500,0,0,,1,2,.500,4,2,6,0,2,0,0,2,5,7.2
15,15,1990-11-30,29-201,DET,PHI,W (+2),1,31:00,2,2,1.000,0,0,,3,4,.750,1,5,6,0,0,1,2,5,7,4.9
16,16,1990-12-01,29-202,DET,WSB,L (-11),1,28:00,4,7,.571,0,0,,0,0,,5,5,10,2,1,2,0,6,8,11.1
17,17,1990-12-04,29-205,DET,LAL,L (-24),1,25:00,2,3,.667,0,0,,0,0,,0,5,5,0,0,0,0,2,4,3.4
18,18,1990-12-05,29-206,DET,UTA,L (-21),1,36:00,4,6,.667,0,1,.000,1,2,.500,5,7,12,1,0,1,2,2,9,10.2
19,19,1990-12-07,29-208,DET,GSW,L (-3),1,38:00,1,9,.111,0,1,.000,0,0,,3,7,10,1,1,0,1,4,2,-0.6
20,20,1990-12-08,29-209,DET,SAC,W (+11),1,33:00,6,9,.667,0,0,,0,0,,3,8,11,1,0,1,0,3,12,12.8
21,21,1990-12-11,29-212,DET,SAS,L (-9),1,27:00,1,5,.200,0,0,,1,2,.500,2,7,9,0,0,0,1,3,3,0.8
22,22,1990-12-14,29-215,DET,BOS,L (-8),1,43:00,1,2,.500,0,1,.000,4,4,1.000,3,12,15,1,0,0,2,2,6,8.6
23,23,1990-12-18,29-219,DET,MIL,L (-5),1,25:00,3,10,.300,0,0,,1,2,.500,7,4,11,1,1,0,2,3,7,5.4
24,24,1990-12-19,29-220,DET,CHI,W (+21),1,30:00,3,6,.500,0,0,,2,3,.667,2,9,11,2,1,1,2,3,8,8.6
25,25,1990-12-21,29-222,DET,ATL,W (+26),1,24:00,4,6,.667,0,0,,0,0,,4,7,11,3,1,0,1,2,8,11.6
26,26,1990-12-22,29-223,DET,PHI,L (-7),1,31:00,4,7,.571,0,1,.000,0,0,,5,6,11,1,2,0,1,5,8,9.7
27,27,1990-12-25,29-226,DET,CHI,L (-12),1,21:00,0,3,.000,0,0,,1,2,.500,6,4,10,1,0,0,2,3,1,1.4
28,28,1990-12-26,29-227,DET,CHH,W (+8),1,29:00,4,6,.667,0,0,,2,3,.667,4,6,10,2,1,1,1,4,10,12.1
29,29,1990-12-28,29-229,DET,MIN,W (+12),1,31:00,4,6,.667,0,0,,1,1,1.000,1,5,6,2,2,2,0,4,9,11.8
30,30,1990-12-29,29-230,DET,HOU,W (+15),1,30:00,3,5,.600,0,1,.000,2,2,1.000,2,15,17,0,1,0,4,4,8,7.0
31,31,1991-01-02,29-234,DET,DEN,W (+11),1,44:00,15,21,.714,0,0,,4,5,.800,7,16,23,0,2,0,0,1,34,36.2
32,32,1991-01-04,29-236,DET,CLE,W (+4),1,33:00,2,4,.500,0,0,,1,2,.500,1,8,9,1,1,1,0,4,5,6.5
33,33,1991-01-05,29-237,DET,NJN,W (+16),1,29:00,1,4,.250,0,0,,3,4,.750,6,10,16,0,0,0,1,3,5,7.2
34,34,1991-01-08,29-240,DET,CHH,W (+3),1,35:00,5,7,.714,0,1,.000,0,0,,2,10,12,0,0,0,1,5,10,8.5
35,35,1991-01-11,29-243,DET,POR,W (+2),1,48:00,6,9,.667,0,0,,1,2,.500,3,12,15,0,1,0,0,3,13,14.2
36,36,1991-01-12,29-244,DET,MIA,W (+6),1,45:00,6,12,.500,0,0,,6,6,1.000,7,11,18,0,1,0,0,3,18,20.0
37,37,1991-01-14,29-246,DET,DAL,W (+8),1,40:00,3,5,.600,0,0,,2,4,.500,5,10,15,2,2,3,0,3,8,15.7
38,38,1991-01-17,29-249,DET,HOU,W (+6),1,48:00,8,15,.533,0,0,,0,4,.000,10,8,18,0,0,1,1,3,16,15.0
39,39,1991-01-18,29-250,DET,PHO,L (-1),1,39:00,1,5,.200,0,0,,1,2,.500,1,10,11,1,1,0,3,2,3,1.1
40,40,1991-01-21,29-253,DET,BOS,W (+11),1,38:00,4,11,.364,0,2,.000,3,3,1.000,3,5,8,1,1,0,0,0,11,10.2
41,41,1991-01-23,29-255,DET,BOS,L (-17),1,35:00,4,10,.400,0,1,.000,0,0,,4,6,10,0,2,1,1,2,8,8.1
42,42,1991-01-25,29-257,DET,DAL,W (+2),1,40:00,2,7,.286,0,0,,2,2,1.000,2,15,17,0,0,0,0,0,6,7.8
43,43,1991-01-26,29-258,DET,ORL,W (+40),1,26:00,3,4,.750,0,0,,6,6,1.000,4,9,13,3,1,2,0,2,12,19.6
44,44,1991-01-28,29-260,DET,WSB,W (+6),1,40:00,8,12,.667,0,1,.000,2,4,.500,5,5,10,1,0,3,1,3,18,17.6
45,45,1991-01-30,29-262,DET,CLE,W (+9),1,36:00,4,8,.500,0,0,,0,1,.000,4,12,16,0,1,0,0,2,8,10.2
46,46,1991-02-01,29-264,DET,WSB,W (+5),1,30:00,0,8,.000,0,0,,3,4,.750,4,4,8,1,0,1,0,5,3,0.4
47,47,1991-02-03,29-266,DET,PHO,L (-15),1,30:00,5,10,.500,0,0,,0,0,,4,8,12,0,0,1,1,3,10,8.7
48,48,1991-02-05,29-268,DET,PHI,W (+9),1,38:00,4,8,.500,0,0,,1,2,.500,6,6,12,1,1,0,1,5,9,9.3
49,49,1991-02-07,29-270,DET,CHI,L (-2),1,29:00,4,8,.500,0,0,,3,4,.750,5,9,14,0,0,0,2,4,11,9.2
50,50,1991-02-13,29-276,DET,IND,L (-4),1,45:00,4,12,.333,0,1,.000,4,7,.571,10,14,24,2,1,2,3,2,12,15.2
51,51,1991-02-14,29-277,DET,MIL,W (+8),1,41:00,2,5,.400,0,0,,0,0,,8,8,16,2,2,1,1,5,4,10.4
52,52,1991-02-17,29-280,DET,NYK,L (-28),1,22:00,2,4,.500,0,0,,1,2,.500,2,6,8,1,0,0,1,1,5,5.1
53,53,1991-02-18,29-281,DET,SEA,W (+2),1,48:00,6,11,.545,0,0,,7,10,.700,7,8,15,3,3,1,2,4,19,22.0
54,54,1991-02-20,29-283,DET,ATL,W (+8),1,28:00,5,8,.625,0,0,,1,4,.250,2,9,11,0,0,0,1,6,11,6.9
55,55,1991-02-22,29-285,DET,CHH,L (-8),1,38:00,6,10,.600,0,0,,3,3,1.000,8,10,18,1,0,3,2,3,15,18.6
56,56,1991-02-24,29-287,DET,LAL,L (-6),1,47:00,7,11,.636,0,0,,1,2,.500,7,10,17,1,3,2,2,6,15,18.3
57,57,1991-02-26,29-289,DET,CLE,L (-3),1,43:00,5,10,.500,3,4,.750,2,2,1.000,4,11,15,4,0,0,0,5,15,16.9
58,58,1991-02-28,29-291,DET,MIA,L (-2),1,44:00,5,9,.556,0,0,,3,7,.429,9,11,20,2,0,1,1,3,13,16.6
59,59,1991-03-01,29-292,DET,UTA,L (-2),1,39:00,3,8,.375,0,0,,1,4,.250,7,8,15,2,0,0,2,4,7,6.5
60,60,1991-03-03,29-294,DET,LAC,W (+9),1,31:00,2,6,.333,0,0,,0,1,.000,4,6,10,1,1,1,2,5,4,3.2
61,61,1991-03-06,29-297,DET,NYK,L (-3),1,36:00,3,5,.600,0,0,,0,0,,3,8,11,2,0,1,0,3,6,9.1
62,62,1991-03-09,29-300,DET,IND,W (+2),1,42:00,3,8,.375,0,0,,4,8,.500,9,10,19,1,1,1,1,3,10,13.5
63,63,1991-03-11,29-302,DET,MIL,L (-11),1,37:00,4,6,.667,0,0,,2,4,.500,3,7,10,0,1,0,0,3,10,10.6
64,64,1991-03-13,29-304,DET,CHH,W (+11),1,38:00,2,6,.333,0,1,.000,2,2,1.000,4,13,17,3,2,0,3,3,6,9.2
65,65,1991-03-14,29-305,DET,NJN,L (-8),1,26:00,4,8,.500,0,2,.000,0,0,,3,5,8,0,0,0,1,4,8,5.0
66,66,1991-03-16,29-307,DET,ORL,W (+7),1,37:00,3,10,.300,1,3,.333,0,0,,4,9,13,0,1,2,1,4,7,6.5
67,67,1991-03-20,29-311,DET,PHI,L (-4),1,28:00,8,11,.727,0,1,.000,0,0,,5,6,11,1,2,0,0,5,16,17.5
68,68,1991-03-22,29-313,DET,NJN,W (+16),1,29:00,1,4,.250,0,0,,0,0,,5,9,14,1,1,0,0,1,2,7.1
69,69,1991-03-24,29-315,DET,SAS,L (-7),1,29:00,1,8,.125,0,1,.000,0,0,,4,13,17,2,0,0,3,2,2,1.1
70,70,1991-03-25,29-316,DET,DEN,W (+24),1,28:00,1,6,.167,0,0,,2,4,.500,2,15,17,0,1,0,1,5,4,3.3
71,71,1991-03-27,29-318,DET,IND,W (+9),1,44:00,8,12,.667,0,0,,3,4,.750,9,10,19,1,1,2,3,3,19,21.6
72,72,1991-03-29,29-320,DET,GSW,W (+6),1,31:00,1,3,.333,0,0,,2,4,.500,7,12,19,0,0,0,5,4,4,3.4
73,73,1991-04-02,29-324,DET,CHH,W (+5),1,42:00,2,4,.500,0,0,,0,0,,3,9,12,1,0,2,0,3,4,7.7
74,74,1991-04-05,29-327,DET,MIN,W (+19),1,35:00,2,6,.333,0,1,.000,0,0,,3,10,13,1,1,2,1,3,4,6.6
75,75,1991-04-06,29-328,DET,NYK,L (-13),1,38:00,2,6,.333,0,0,,0,0,,5,6,11,0,0,0,3,4,4,1.3
76,76,1991-04-09,29-331,DET,MIL,L (-10),1,34:00,2,4,.500,0,1,.000,0,0,,3,9,12,1,0,1,4,5,4,2.2
77,77,1991-04-10,29-332,DET,CLE,L (-4),1,35:00,1,5,.200,0,0,,0,0,,4,10,14,0,0,1,2,4,2,1.8
