Name,Salary
Hakeem Olajuwon,14302001
Charles Barkley,9000000
Walt Williams,3750000
Stacey Augmon,3450000
Steve Francis,3020520
Don MacLean,2800000
Carlos Rogers,2100000
Matt Maloney,2081250
Shandon Anderson,2000000
Matt Bullard,1333333
Kelvin Cato,1299000
Tony Massenburg,1150000
Bryce Drew,1105560
Brian Shaw,1100000
Eddie Johnson,1000000
Ed Gray,941040
Kenny Thomas,823440
Thomas Hamilton,510000
Cuttino Mobley,385000
Devin Gray,88223
Anthony Miller,30000
