Rk,G,Date,Age,Tm,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
42,42,1994-01-29,32-261,SAS,ATL,W (+13),0,31:00,2,3,.667,0,0,,0,0,,5,8,13,0,1,0,1,0,4,8.6
43,43,1994-02-01,32-264,SAS,LAL,W (+15),0,31:00,1,4,.250,0,0,,0,0,,5,11,16,3,0,0,1,1,2,7.1
44,44,1994-02-03,32-266,SAS,CLE,W (+1),0,37:00,2,3,.667,0,0,,2,4,.500,7,13,20,3,0,1,6,4,6,7.9
45,45,1994-02-04,32-267,SAS,BOS,W (+9),0,32:00,1,5,.200,0,1,.000,2,2,1.000,7,6,13,0,1,0,2,2,4,5.8
46,46,1994-02-06,32-269,SAS,NJN,W (+2),0,38:00,2,2,1.000,0,0,,1,2,.500,7,13,20,2,0,0,0,3,5,13.0
47,47,1994-02-08,32-271,SAS,WSB,W (+20),0,36:00,2,2,1.000,0,0,,0,2,.000,5,7,12,1,1,1,1,1,4,9.2
48,48,1994-02-10,32-273,SAS,DEN,W (+7),0,34:00,3,5,.600,0,0,,0,2,.000,8,12,20,2,0,0,3,4,6,8.9
49,49,1994-02-15,32-278,SAS,IND,W (+9),0,36:00,0,1,.000,0,0,,2,2,1.000,4,15,19,3,0,0,0,3,2,9.5
50,50,1994-02-17,32-280,SAS,DET,W (+19),1,42:00,0,1,.000,0,0,,1,2,.500,4,18,22,5,1,0,1,4,1,10.0
51,51,1994-02-19,32-282,SAS,MIA,W (+4),1,46:00,4,5,.800,1,1,1.000,4,6,.667,10,16,26,3,1,2,3,4,13,22.0
52,52,1994-02-21,32-284,SAS,MIN,W (+25),1,47:00,3,3,1.000,0,0,,0,0,,5,15,20,4,0,0,1,2,6,14.1
53,53,1994-02-23,32-286,SAS,UTA,L (-4),1,56:00,5,6,.833,0,0,,0,0,,7,9,16,1,0,0,1,5,10,13.1
54,54,1994-02-25,32-288,SAS,LAL,W (+16),1,38:00,2,3,.667,0,0,,0,0,,4,14,18,4,0,1,2,1,4,10.8
55,55,1994-02-26,32-289,SAS,POR,L (-8),1,48:00,2,4,.500,0,0,,0,0,,8,10,18,1,0,0,1,5,4,8.3
56,56,1994-03-02,32-293,SAS,UTA,L (-10),1,45:00,0,2,.000,0,0,,0,0,,5,8,13,0,2,0,2,5,0,2.5
57,57,1994-03-06,32-297,SAS,ORL,W (+8),0,27:00,3,5,.600,0,0,,0,0,,5,5,10,0,0,0,2,2,6,5.9
58,58,1994-03-08,32-299,SAS,HOU,W (+16),0,22:00,3,6,.500,0,1,.000,0,0,,6,8,14,6,0,0,0,0,6,13.8
59,59,1994-03-11,32-302,SAS,SEA,L (-1),0,26:00,2,3,.667,0,0,,0,0,,3,5,8,3,0,0,2,4,4,4.8
60,60,1994-03-14,32-305,SAS,DEN,L (-28),0,24:00,3,4,.750,0,0,,0,0,,4,5,9,0,0,1,0,0,6,9.4
61,61,1994-03-16,32-307,SAS,POR,W (+8),1,45:00,4,6,.667,0,0,,6,8,.750,5,14,19,1,2,1,2,3,14,18.5
62,62,1994-03-19,32-310,SAS,SAC,W (+7),1,40:00,1,3,.333,0,1,.000,3,4,.750,4,8,12,2,1,1,1,3,5,9.0
63,63,1994-03-22,32-313,SAS,SEA,L (-16),1,43:00,2,3,.667,0,0,,0,0,,5,11,16,1,1,0,1,2,4,9.4
64,64,1994-03-24,32-315,SAS,SAC,W (+16),1,44:00,4,4,1.000,0,0,,1,1,1.000,3,15,18,4,0,0,4,5,9,11.2
65,65,1994-03-26,32-317,SAS,GSW,W (+11),1,34:00,5,8,.625,0,0,,2,4,.500,10,15,25,4,2,0,1,3,12,21.7
66,66,1994-03-27,32-318,SAS,POR,W (+12),1,40:00,4,6,.667,0,1,.000,0,0,,7,9,16,4,1,0,3,5,8,11.8
67,67,1994-03-29,32-320,SAS,DAL,W (+25),1,36:00,1,2,.500,0,0,,0,0,,4,16,20,1,0,0,1,2,2,7.5
68,68,1994-03-31,32-322,SAS,CLE,W (+16),1,36:00,2,4,.500,0,0,,2,4,.500,9,6,15,1,0,0,2,2,6,9.2
69,69,1994-04-02,32-324,SAS,CHH,W (+6),1,34:00,0,2,.000,0,0,,0,0,,4,16,20,8,0,0,3,0,0,8.8
70,70,1994-04-05,32-327,SAS,GSW,L (-5),0,36:00,2,2,1.000,0,0,,1,2,.500,7,12,19,3,2,0,1,2,5,14.8
71,71,1994-04-06,32-328,SAS,PHO,L (-12),1,36:00,1,1,1.000,0,0,,0,0,,3,10,13,1,2,0,1,3,2,7.3
72,72,1994-04-09,32-331,SAS,HOU,L (-11),1,38:00,3,6,.500,0,1,.000,1,2,.500,5,11,16,0,0,1,0,5,7,9.1
73,73,1994-04-11,32-333,SAS,MIN,W (+12),1,34:00,0,3,.000,0,2,.000,0,0,,4,12,16,4,1,0,2,2,0,5.3
74,74,1994-04-13,32-335,SAS,DEN,L (-5),1,43:00,3,6,.500,1,2,.500,0,0,,7,11,18,2,3,0,4,0,7,12.6
75,75,1994-04-14,32-336,SAS,UTA,L (-11),1,36:00,3,8,.375,1,5,.200,0,0,,4,6,10,2,0,0,0,2,7,7.8
76,76,1994-04-16,32-338,SAS,PHO,L (-2),1,44:00,3,8,.375,1,2,.500,0,0,,8,13,21,3,1,2,1,3,7,14.4
77,77,1994-04-19,32-341,SAS,HOU,W (+10),1,35:00,5,7,.714,1,2,.500,0,0,,9,12,21,2,1,1,4,4,11,15.5
78,78,1994-04-22,32-344,SAS,SEA,L (-7),1,46:00,2,6,.333,0,0,,3,4,.750,9,9,18,2,1,1,2,3,7,12.1
79,79,1994-04-24,32-346,SAS,LAC,W (+15),1,36:00,4,5,.800,0,0,,0,0,,3,14,17,3,1,1,2,1,8,13.8
1,1,1994-04-28,32-350,SAS,UTA,W (+17),1,30:00,1,5,.200,0,2,.000,0,2,.000,4,7,11,1,3,0,2,4,2,3.1
2,2,1994-04-30,32-352,SAS,UTA,L (-12),1,41:00,7,12,.583,0,2,.000,0,3,.000,9,8,17,0,2,4,2,5,14,16.7
3,3,1994-05-05,32-357,SAS,UTA,L (-5),1,43:00,4,7,.571,0,1,.000,1,1,1.000,11,9,20,1,1,0,2,5,9,13.8
