Rk,Date,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
53,2000-03-26,0,23:41,6,7,.857,0,0,,0,0,,4,2,6,2,0,0,1,2,12,12.5
54,2000-03-28,0,24:19,4,8,.500,0,0,,3,4,.750,1,4,5,2,0,0,1,3,11,7.7
55,2000-03-30,0,18:08,1,2,.500,0,0,,0,2,.000,2,1,3,2,0,0,4,2,2,-1.5
56,2000-04-01,0,11:25,1,2,.500,0,0,,0,0,,1,2,3,1,1,1,2,3,2,1.5
57,2000-04-02,0,21:00,2,4,.500,0,0,,1,2,.500,3,4,7,1,1,0,1,2,5,5.8
58,2000-04-05,0,25:09,4,7,.571,0,0,,2,2,1.000,7,5,12,2,1,1,0,2,10,15.4
59,2000-04-06,0,21:42,1,7,.143,0,0,,0,0,,1,2,3,2,0,0,0,2,2,-0.6
60,2000-04-08,1,24:16,8,9,.889,0,0,,4,6,.667,0,2,2,1,1,0,1,5,20,15.4
61,2000-04-10,1,32:20,7,9,.778,0,0,,2,4,.500,2,5,7,1,1,1,1,4,16,14.4
62,2000-04-11,1,31:54,2,8,.250,1,1,1.000,2,6,.333,4,8,12,1,1,1,0,1,7,7.8
63,2000-04-13,1,29:51,6,8,.750,0,0,,1,2,.500,3,3,6,3,0,1,1,3,13,13.0
64,2000-04-16,0,22:23,4,8,.500,0,0,,1,1,1.000,2,4,6,2,0,1,2,3,9,6.5
65,2000-04-18,0,23:05,6,7,.857,0,0,,3,4,.750,2,2,4,2,0,0,1,0,15,14.5
66,2000-04-19,1,25:03,2,8,.250,0,0,,3,4,.750,3,7,10,1,2,2,1,4,7,7.5
