Rk,G,Date,Age,Tm,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1991-11-01,30-172,DET,MIL,L (-10),1,26:00,2,4,.500,0,0,,1,2,.500,2,3,5,1,0,1,4,2,5,1.5
2,2,1991-11-02,30-173,DET,ATL,W (+2),1,37:00,4,5,.800,0,0,,1,3,.333,4,13,17,2,0,0,4,5,9,8.4
3,3,1991-11-05,30-176,DET,CHH,W (+24),1,20:00,0,2,.000,0,0,,0,0,,4,11,15,6,1,0,1,3,0,7.7
4,4,1991-11-09,30-180,DET,NJN,W (+10),1,27:00,3,5,.600,0,0,,0,0,,4,4,8,1,1,0,1,1,6,8.0
5,5,1991-11-10,30-181,DET,WSB,W (+6),1,30:00,2,7,.286,0,0,,0,0,,6,6,12,2,3,2,1,1,4,10.3
6,6,1991-11-12,30-183,DET,CHI,L (-17),1,40:00,6,8,.750,2,3,.667,6,8,.750,9,4,13,3,0,0,1,3,20,23.4
7,7,1991-11-13,30-184,DET,MIA,L (-5),1,40:00,4,8,.500,0,1,.000,0,0,,8,12,20,5,1,0,1,4,8,15.1
8,8,1991-11-15,30-186,DET,UTA,W (+8),1,34:00,4,9,.444,0,1,.000,1,3,.333,6,8,14,2,1,0,1,3,9,10.3
9,9,1991-11-16,30-187,DET,PHI,L (-3),1,36:00,5,7,.714,0,0,,3,6,.500,7,10,17,4,1,1,2,4,13,17.7
10,10,1991-11-18,30-189,DET,IND,L (-17),1,39:00,4,6,.667,0,2,.000,0,0,,8,11,19,3,0,0,0,3,8,15.2
11,11,1991-11-20,30-191,DET,SEA,L (-5),1,38:00,2,8,.250,0,1,.000,3,4,.750,6,13,19,0,0,2,4,4,7,5.7
12,12,1991-11-22,30-193,DET,NYK,L (-9),1,34:00,3,6,.500,0,1,.000,0,2,.000,3,12,15,1,2,0,1,2,6,8.8
13,13,1991-11-23,30-194,DET,CLE,L (-7),1,38:00,5,10,.500,0,1,.000,0,0,,7,9,16,3,1,0,0,2,10,14.9
14,14,1991-11-26,30-197,DET,ATL,W (+10),1,28:00,7,9,.778,0,0,,0,0,,5,6,11,1,1,1,3,5,14,13.2
15,15,1991-11-27,30-198,DET,ATL,W (+9),1,40:00,4,8,.500,0,0,,0,0,,4,8,12,1,1,0,1,1,8,9.5
16,16,1991-11-30,30-201,DET,NYK,L (-7),1,29:00,4,11,.364,0,0,,0,0,,3,6,9,2,1,0,3,3,8,4.0
17,17,1991-12-01,30-202,DET,HOU,W (+7),1,45:00,5,10,.500,0,0,,1,1,1.000,4,13,17,1,2,2,0,1,11,16.4
18,18,1991-12-03,30-204,DET,IND,L (-9),1,30:00,2,7,.286,0,1,.000,2,4,.500,9,10,19,3,0,0,2,4,6,8.9
19,19,1991-12-05,30-206,DET,CLE,L (-9),1,39:00,6,9,.667,1,3,.333,1,2,.500,9,12,21,0,0,2,3,3,14,16.8
20,20,1991-12-06,30-207,DET,WSB,W (+11),1,46:00,2,10,.200,1,3,.333,0,0,,9,12,21,2,0,2,2,2,5,8.7
21,21,1991-12-10,30-211,DET,PHO,L (-9),1,47:00,7,15,.467,1,4,.250,2,2,1.000,9,14,23,1,0,1,0,3,17,20.0
22,22,1991-12-11,30-212,DET,LAC,L (-5),1,48:00,6,8,.750,0,1,.000,3,4,.750,2,16,18,0,1,2,0,5,15,18.0
23,23,1991-12-13,30-214,DET,POR,W (+10),1,47:00,8,11,.727,0,1,.000,4,4,1.000,5,20,25,2,3,2,3,3,20,26.6
24,24,1991-12-14,30-215,DET,UTA,L (-2),1,48:00,5,8,.625,1,1,1.000,2,3,.667,5,13,18,1,0,3,2,2,13,16.4
25,25,1991-12-16,30-217,DET,DEN,W (+14),1,45:00,5,8,.625,1,1,1.000,2,4,.500,10,10,20,0,0,2,1,2,13,18.2
26,26,1991-12-18,30-219,DET,CHH,W (+20),1,35:00,2,7,.286,0,3,.000,0,0,,8,13,21,0,1,2,2,1,4,9.4
27,27,1991-12-20,30-221,DET,LAL,W (+19),1,47:00,6,8,.750,0,0,,0,0,,4,18,22,0,0,3,2,1,12,16.7
28,28,1991-12-26,30-227,DET,ORL,W (+12),1,34:00,1,1,1.000,0,0,,2,2,1.000,6,10,16,3,2,0,2,3,4,11.8
29,29,1991-12-27,30-228,DET,ORL,W (+12),1,34:00,3,5,.600,1,2,.500,0,0,,6,14,20,2,0,1,4,3,7,10.0
30,30,1991-12-30,30-231,DET,PHO,L (-7),1,48:00,3,9,.333,0,1,.000,1,2,.500,6,11,17,4,1,3,3,2,7,11.1
31,31,1992-01-02,30-234,DET,HOU,W (+23),1,39:00,7,7,1.000,0,0,,0,0,,4,10,14,4,1,1,0,0,14,22.2
32,32,1992-01-03,30-235,DET,DAL,W (+10),1,41:00,5,6,.833,0,0,,1,2,.500,7,13,20,2,0,0,2,4,11,15.0
33,33,1992-01-06,30-238,DET,SAS,L (-10),1,42:00,1,4,.250,0,0,,2,2,1.000,6,18,24,0,1,0,1,4,4,9.6
34,34,1992-01-08,30-240,DET,SAC,W (+19),1,38:00,4,7,.571,0,0,,1,2,.500,7,16,23,4,1,2,4,3,9,15.0
35,35,1992-01-10,30-242,DET,POR,W (+5),1,40:00,7,12,.583,0,1,.000,2,2,1.000,5,9,14,1,2,0,2,3,16,16.1
36,36,1992-01-11,30-243,DET,NJN,W (+2),1,45:00,7,13,.538,0,0,,0,0,,9,15,24,0,1,0,2,4,14,15.9
