G,Date,Opponent,,Tm,Opp,W,L,Streak
3,Wed Apr 30 1997,Washington Bullets,W,96,95,3,0,W 3
4,Tue May 6 1997,Atlanta Hawks,W,100,97,4,0,W 4
5,Thu May 8 1997,Atlanta Hawks,L,95,103,4,1,L 1
6,Sat May 10 1997,Atlanta Hawks,W,100,80,5,1,W 1
7,Sun May 11 1997,Atlanta Hawks,W,89,80,6,1,W 2
8,Tue May 13 1997,Atlanta Hawks,W,107,92,7,1,W 3
9,Tue May 20 1997,Miami Heat,W,84,77,8,1,W 4
10,Thu May 22 1997,Miami Heat,W,75,68,9,1,W 5
11,Sat May 24 1997,Miami Heat,W,98,74,10,1,W 6
12,Mon May 26 1997,Miami Heat,L,80,87,10,2,L 1
13,Wed May 28 1997,Miami Heat,W,100,87,11,2,W 1
14,Sun Jun 1 1997,Utah Jazz,W,84,82,12,2,W 2
15,Wed Jun 4 1997,Utah Jazz,W,97,85,13,2,W 3
16,Fri Jun 6 1997,Utah Jazz,L,93,104,13,3,L 1
17,Sun Jun 8 1997,Utah Jazz,L,73,78,13,4,L 2
18,Wed Jun 11 1997,Utah Jazz,W,90,88,14,4,W 1
19,Fri Jun 13 1997,Utah Jazz,W,90,86,15,4,W 2
