Rk,G,Date,Age,Tm,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1989-11-03,28-174,DET,NYK,W (+3),0,20:00,2,4,.500,0,0,,2,3,.667,3,4,7,0,0,1,3,2,6,3.8
2,2,1989-11-04,28-175,DET,WSB,W (+2),0,27:00,2,6,.333,0,0,,6,6,1.000,3,4,7,0,2,1,2,4,10,9.0
3,3,1989-11-07,28-178,DET,CHI,L (-3),0,33:00,2,7,.286,0,0,,6,9,.667,4,4,8,1,0,0,0,3,10,8.2
4,4,1989-11-08,28-179,DET,IND,L (-21),0,35:00,5,11,.455,0,1,.000,2,4,.500,11,4,15,1,0,0,3,3,12,10.9
5,5,1989-11-10,28-181,DET,ORL,W (+4),0,29:00,3,4,.750,0,0,,1,3,.333,5,1,6,1,1,1,0,3,7,9.6
6,6,1989-11-11,28-182,DET,MIA,L (-4),0,24:00,2,4,.500,0,0,,0,0,,5,6,11,0,0,1,1,5,4,5.0
7,7,1989-11-15,28-186,DET,MIA,W (+36),0,27:00,5,6,.833,0,0,,3,4,.750,4,7,11,2,0,0,1,2,13,14.9
8,8,1989-11-17,28-188,DET,MIL,W (+27),0,21:00,4,6,.667,0,0,,5,6,.833,6,6,12,0,1,2,2,3,13,15.2
9,9,1989-11-18,28-189,DET,BOS,W (+17),0,27:00,3,4,.750,0,0,,2,5,.400,1,4,5,0,1,1,1,4,8,6.2
10,10,1989-11-21,28-192,DET,ATL,L (-7),1,40:00,6,15,.400,0,1,.000,2,2,1.000,7,3,10,3,1,1,0,1,14,15.1
11,11,1989-11-24,28-195,DET,CLE,W (+19),0,15:00,0,2,.000,0,0,,0,2,.000,1,4,5,0,0,0,5,5,0,-7.3
12,12,1989-11-26,28-197,DET,POR,L (-20),0,23:00,3,8,.375,0,0,,2,2,1.000,6,1,7,0,1,2,1,5,8,7.5
13,13,1989-11-28,28-199,DET,SAC,W (+12),0,22:00,6,11,.545,0,0,,0,1,.000,1,2,3,0,0,1,2,2,12,5.5
14,14,1989-11-29,28-200,DET,PHO,W (+8),0,23:00,0,1,.000,0,0,,4,6,.667,3,3,6,0,0,1,1,5,4,3.2
15,15,1989-12-01,28-202,DET,LAL,W (+11),0,39:00,5,7,.714,0,0,,0,0,,7,7,14,0,1,0,1,3,10,12.9
16,16,1989-12-02,28-203,DET,SEA,L (-25),0,21:00,3,8,.375,0,0,,1,2,.500,5,3,8,1,0,1,0,4,7,6.4
17,17,1989-12-06,28-207,DET,WSB,W (+8),0,23:00,4,6,.667,0,0,,0,1,.000,4,1,5,1,0,0,0,4,8,7.2
18,18,1989-12-08,28-209,DET,PHI,L (-6),0,26:00,7,12,.583,0,0,,3,5,.600,7,1,8,1,0,0,1,3,17,14.3
19,19,1989-12-09,28-210,DET,IND,W (+28),0,28:00,5,7,.714,0,0,,3,4,.750,3,11,14,2,1,0,0,2,13,16.7
20,20,1989-12-12,28-213,DET,DEN,W (+13),0,22:00,3,3,1.000,0,0,,0,0,,2,3,5,0,0,0,0,5,6,5.4
21,21,1989-12-13,28-214,DET,LAC,L (-4),0,35:00,3,7,.429,0,0,,2,2,1.000,11,3,14,2,1,2,0,5,8,14.7
22,22,1989-12-15,28-216,DET,UTA,L (-3),0,14:00,1,2,.500,0,0,,2,2,1.000,4,1,5,0,0,0,0,5,4,4.1
23,23,1989-12-16,28-217,DET,GSW,L (-12),0,34:00,5,6,.833,0,0,,1,3,.333,7,7,14,2,0,0,2,3,11,13.2
