Rk,G,Date,Age,Tm,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1992-11-06,31-177,DET,MIL,L (-5),0,33:00,2,9,.222,0,3,.000,0,2,.000,6,8,14,2,1,0,1,2,4,4.9
2,2,1992-11-07,31-178,DET,IND,W (+2),0,25:00,1,4,.250,0,0,,0,0,,1,7,8,0,0,0,0,3,2,1.2
3,3,1992-11-11,31-182,DET,CHI,L (-2),0,35:00,2,2,1.000,0,0,,0,0,,3,7,10,1,0,1,2,3,4,5.8
4,4,1992-11-12,31-183,DET,MIA,W (+7),0,16:00,1,2,.500,0,1,.000,0,0,,1,3,4,2,0,0,4,1,2,-0.4
5,5,1992-11-25,31-196,DET,CHH,L (-4),0,33:00,2,6,.333,0,1,.000,0,2,.000,5,15,20,2,0,0,2,5,4,5.2
6,6,1992-11-28,31-199,DET,MIN,L (-2),1,42:00,1,3,.333,0,1,.000,0,2,.000,4,20,24,2,1,0,2,5,2,6.7
7,7,1992-11-29,31-200,DET,NYK,W (+16),1,38:00,2,7,.286,1,3,.333,1,2,.500,7,13,20,0,0,0,2,4,6,6.7
8,8,1992-12-04,31-205,DET,PHI,W (+2),1,38:00,2,6,.333,0,0,,1,4,.250,9,14,23,3,1,0,1,3,5,11.8
9,9,1992-12-05,31-206,DET,PHI,W (+24),1,38:00,3,5,.600,0,2,.000,1,2,.500,2,18,20,3,1,2,3,1,7,12.2
10,10,1992-12-09,31-210,DET,ORL,W (+5),1,45:00,3,6,.500,3,4,.750,1,4,.250,7,15,22,2,1,1,4,2,10,13.5
11,11,1992-12-11,31-212,DET,CLE,W (+4),1,43:00,1,4,.250,0,2,.000,1,2,.500,6,15,21,1,3,0,0,3,3,11.4
12,12,1992-12-12,31-213,DET,NYK,L (-7),1,42:00,1,4,.250,0,2,.000,2,2,1.000,8,8,16,3,2,1,2,4,4,10.8
13,13,1992-12-15,31-216,DET,ATL,W (+13),1,45:00,2,4,.500,2,3,.667,0,0,,6,15,21,2,1,1,1,2,6,14.0
14,14,1992-12-16,31-217,DET,ATL,W (+1),1,47:00,2,6,.333,1,2,.500,1,3,.333,7,14,21,2,0,2,1,3,6,11.5
15,15,1992-12-18,31-219,DET,IND,W (+16),1,41:00,3,5,.600,0,1,.000,0,0,,3,13,16,1,2,0,1,3,6,10.2
16,16,1992-12-19,31-220,DET,MIL,W (+13),1,44:00,2,5,.400,0,0,,0,0,,10,12,22,2,2,1,4,4,4,10.4
17,17,1992-12-22,31-223,DET,HOU,W (+14),1,44:00,3,4,.750,0,0,,4,7,.571,4,14,18,1,1,0,1,3,10,13.7
18,18,1992-12-23,31-224,DET,CHH,L (-12),1,45:00,6,9,.667,0,0,,0,3,.000,9,18,27,5,2,1,2,1,12,22.4
19,19,1992-12-26,31-227,DET,WSB,W (+2),1,44:00,1,3,.333,0,0,,3,4,.750,7,15,22,0,4,2,2,3,5,14.5
20,20,1992-12-28,31-229,DET,CLE,L (-9),1,46:00,2,4,.500,0,0,,0,0,,7,11,18,2,1,2,0,4,4,12.4
21,21,1992-12-30,31-231,DET,WSB,W (+8),1,44:00,5,7,.714,0,1,.000,0,2,.000,7,16,23,3,0,2,4,3,10,14.3
22,22,1993-01-02,31-234,DET,ORL,W (+1),1,44:00,2,3,.667,0,0,,6,11,.545,3,13,16,2,1,1,4,4,10,10.2
23,23,1993-01-05,31-237,DET,MIA,L (-6),1,48:00,1,3,.333,0,1,.000,1,2,.500,3,21,24,1,1,0,1,5,3,8.0
