Rk,G,Date,Age,Tm,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1997-10-31,36-171,CHI,BOS,L (-7),0,24:45,5,8,.625,0,0,,0,0,,3,6,9,0,0,0,2,1,10,7.9
2,2,1997-11-01,36-172,CHI,PHI,W (+20),0,23:07,3,8,.375,0,1,.000,0,2,.000,3,10,13,2,2,0,2,2,6,6.5
3,3,1997-11-03,36-174,CHI,SAS,W (+4),0,46:15,1,10,.100,0,0,,1,4,.250,10,12,22,1,1,0,2,6,3,3.1
4,4,1997-11-05,36-176,CHI,ORL,W (+13),0,23:50,0,1,.000,0,1,.000,0,0,,3,4,7,4,0,0,4,3,0,0.2
5,5,1997-11-07,36-178,CHI,ATL,L (-2),0,20:35,1,1,1.000,0,0,,0,2,.000,1,2,3,2,0,0,2,5,2,-0.4
6,6,1997-11-08,36-179,CHI,NJN,W (+13),1,34:06,3,5,.600,0,0,,1,2,.500,6,6,12,4,2,1,3,3,7,11.6
7,7,1997-11-11,36-182,CHI,CLE,L (-21),1,12:08,0,0,,0,0,,0,0,,1,4,5,1,0,0,2,2,0,-0.2
8,8,1997-11-12,36-183,CHI,WAS,L (-7),1,39:40,3,5,.600,0,0,,1,1,1.000,7,7,14,2,1,0,2,5,7,10.1
9,9,1997-11-14,36-185,CHI,CHH,W (+13),0,22:41,3,4,.750,0,1,.000,0,0,,3,11,14,2,0,0,0,0,6,11.2
10,10,1997-11-15,36-186,CHI,CLE,W (+9),1,37:14,3,8,.375,0,2,.000,1,2,.500,5,13,18,2,1,0,1,3,7,9.8
11,11,1997-11-20,36-191,CHI,PHO,L (-4),1,39:07,2,4,.500,0,0,,0,2,.000,7,7,14,3,1,0,3,4,4,6.7
12,12,1997-11-21,36-192,CHI,LAC,W (+9),1,47:52,3,4,.750,0,0,,4,4,1.000,6,8,14,4,0,1,2,5,10,14.5
13,13,1997-11-23,36-194,CHI,SAC,W (+15),1,32:30,1,6,.167,0,0,,0,0,,5,9,14,2,1,1,1,2,2,5.7
14,14,1997-11-25,36-196,CHI,SEA,L (-1),1,38:58,2,5,.400,0,0,,0,0,,4,13,17,1,0,0,0,3,4,7.5
15,15,1997-11-28,36-199,CHI,IND,L (-11),1,27:42,1,3,.333,0,0,,0,2,.000,2,9,11,1,1,0,0,3,2,4.1
