Name,Salary
Ray Allen,9000000
Glenn Robinson,7250000
Danny Manning,6833333
Scott Williams,3750000
Sam Cassell,3500000
Ervin Johnson,2951029
Tim Thomas,2098560
Robert Traylor,2059320
J.R. Reid,2000000
Vinny Del Negro,1925000
Paul Grant,1021080
Jerome Allen,510000
Ricky Pierce,510000
Haywoode Workman,510000
Darvin Ham,460000
Rafer Alston,30187
