Name,Salary
Jayson Williams,12375000
Stephon Marbury,9000000
Kerry Kittles,7166666
Kendall Gill,5600000
Jim McIlvaine,4800000
Keith Van Horn,3451920
Jamie Feick,2000000
Elliot Perry,2000000
Lucious Harris,1920000
Johnny Newman,1100000
Scott Burrell,1000000
Sherman Douglas,1000000
Michael Cage,510000
Jack Haley,510000
Gheorghe Muresan,510000
Evan Eschmeyer,301875
