Name,Salary
Karl Malone,14000000
John Stockton,11000000
Jeff Hornacek,5200000
Greg Ostertag,5200000
Bryon Russell,4000000
Adam Keefe,3000000
Olden Polynice,2000000
Howard Eisley,1560000
Quincy Lewis,930720
Jacque Vaughn,781800
Scott Padgett,679800
Andrei Kirilenko,632400
Thurl Bailey,510000
Pete Chilcutt,510000
Armen Gilliam,312000
Bakari Hendrix,31706
