Name,Salary
Grant Hill,6939000
Christian Laettner,6062500
Bison Dele,5770000
Jerry Stackhouse,4781250
Loy Vaught,4180000
Jerome Williams,2550000
Lindsey Hunter,2350000
Michael Curry,2000000
Eric Montross,2000000
Jud Buechler,1100000
Derek Harper,1100000
Don Reid,1000000
Joe Dumars,510000
Terry Mills,510000
John Crotty,477000
Mikki Moore,460000
Jermaine Jackson,302875
Marcus Brown,43294
Pooh Richardson,5882
