Name,Salary
Rik Smits,12250000
Reggie Miller,9031850
Derrick McKey,4800000
Dale Davis,4490000
Chris Mullin,4079100
Mark Jackson,4000000
Travis Best,3250000
Jalen Rose,2437500
Jonathan Bender,2214600
Sam Perkins,1925000
Austin Croshere,1515120
Zan Tabak,1100000
Jeff Foster,857760
Al Harrington,745800
LaSalle Thompson,510000
Mark Pope,460000
Brent Scott,385000
Mate Skelin,385000
Shannon Smith,301875
Mitchell Butler,150000
Adrian Caldwell,50000
Terry Dehere,50000
