Rk,G,Date,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
9,9,2001-11-18,SAC,W,93,85,36,90,.400,3,16,.188,18,24,.750,19,53,24,8,4,12,22
10,10,2001-11-20,LAC,W,98,93,36,81,.444,6,13,.462,20,33,.606,10,39,27,8,10,14,21
11,11,2001-11-21,DEN,W,89,68,35,74,.473,7,12,.583,12,25,.480,17,59,27,6,6,14,15
12,12,2001-11-23,GSW,W,106,90,41,77,.532,2,8,.250,22,25,.880,12,39,20,10,8,17,24
13,13,2001-11-25,DEN,W,105,98,41,78,.526,10,19,.526,13,24,.542,11,35,27,6,9,11,11
14,14,2001-11-27,MIL,W,104,85,37,90,.411,10,31,.323,20,31,.645,24,57,22,5,12,9,16
15,15,2001-11-30,SEA,W,107,92,41,81,.506,5,13,.385,20,27,.741,11,38,23,7,6,7,23
16,16,2001-12-01,MIN,W,102,76,38,90,.422,8,23,.348,18,21,.857,8,44,25,12,10,9,14
17,17,2001-12-05,DAL,W,98,94,37,87,.425,3,18,.167,21,39,.538,17,52,23,7,6,12,22
18,18,2001-12-07,SAC,L,91,97,36,90,.400,4,19,.211,15,24,.625,16,49,18,6,5,9,28
19,19,2001-12-11,SEA,L,93,104,40,91,.440,4,20,.200,9,21,.429,17,44,24,7,9,10,25
20,20,2001-12-14,LAC,W,110,80,43,88,.489,2,9,.222,22,28,.786,12,55,24,10,6,10,27
21,21,2001-12-16,GSW,W,101,85,38,80,.475,3,16,.188,22,32,.688,9,42,25,8,5,10,25
22,22,2001-12-20,HOU,W,107,101,39,89,.438,12,20,.600,17,23,.739,18,53,22,3,9,12,21
23,23,2001-12-21,MEM,L,108,114,45,94,.479,5,21,.238,13,18,.722,19,48,32,2,6,15,26
24,24,2001-12-25,PHI,W,88,82,34,85,.400,8,25,.320,12,18,.667,9,49,20,7,3,10,19
25,25,2001-12-26,GSW,L,90,101,37,90,.411,5,24,.208,11,14,.786,10,36,18,6,8,15,30
26,26,2001-12-28,TOR,L,86,89,33,86,.384,7,18,.389,13,23,.565,16,51,20,4,7,15,19
27,27,2001-12-30,HOU,W,114,90,46,91,.505,12,22,.545,10,13,.769,10,36,31,3,6,3,23
28,28,2002-01-02,DEN,W,87,86,32,82,.390,6,13,.462,17,21,.810,14,44,21,10,8,13,17
29,29,2002-01-04,PHO,W,118,86,47,94,.500,7,21,.333,17,21,.810,15,51,31,7,4,10,14
30,30,2002-01-06,TOR,W,109,89,42,79,.532,4,12,.333,21,29,.724,12,42,19,12,3,13,11
31,31,2002-01-08,DET,W,121,92,46,89,.517,9,15,.600,20,25,.800,13,44,27,7,3,6,25
32,32,2002-01-09,IND,W,109,90,42,86,.488,6,14,.429,19,33,.576,11,53,27,10,10,11,20
33,33,2002-01-11,MIN,L,102,120,37,93,.398,9,21,.429,19,30,.633,11,37,26,9,3,6,25
34,34,2002-01-12,CHI,L,104,106,34,83,.410,11,25,.440,25,40,.625,16,51,28,12,7,17,31
35,35,2002-01-14,MEM,W,120,81,48,97,.495,10,22,.455,14,17,.824,15,45,32,14,8,8,17
36,36,2002-01-16,MIA,L,96,102,37,92,.402,11,26,.423,11,14,.786,17,42,22,5,6,10,23
37,37,2002-01-19,SAS,W,98,81,41,88,.466,7,21,.333,9,12,.750,13,43,15,9,6,8,17
38,38,2002-01-22,DEN,L,91,107,37,82,.451,3,22,.136,14,21,.667,14,37,23,11,4,16,26
39,39,2002-01-23,LAC,L,90,95,32,80,.400,7,15,.467,19,31,.613,12,46,21,3,6,9,18
40,40,2002-01-25,SAS,W,94,91,35,79,.443,2,11,.182,22,26,.846,10,44,17,7,4,12,20
41,41,2002-01-27,PHI,L,87,93,36,85,.424,3,17,.176,12,18,.667,10,42,20,4,6,9,24
42,42,2002-01-29,ATL,W,127,93,50,87,.575,7,17,.412,20,24,.833,17,55,26,10,6,18,15
43,43,2002-01-30,ORL,W,111,93,41,88,.466,6,17,.353,23,36,.639,16,51,23,4,3,9,16
44,44,2002-02-01,MEM,W,100,85,41,75,.547,11,20,.550,7,9,.778,10,37,28,9,5,13,19
45,45,2002-02-03,DAL,W,101,94,37,93,.398,6,21,.286,21,26,.808,17,57,25,4,3,9,24
46,46,2002-02-06,CHI,L,89,97,33,76,.434,3,17,.176,20,26,.769,13,35,17,9,3,20,24
47,47,2002-02-12,WAS,W,103,94,43,89,.483,10,22,.455,7,14,.500,15,44,29,4,3,7,21
48,48,2002-02-14,SEA,W,92,87,38,85,.447,8,15,.533,8,12,.667,13,38,25,7,3,10,18
49,49,2002-02-15,ATL,L,90,93,31,74,.419,7,21,.333,21,34,.618,10,42,19,7,9,12,23
50,50,2002-02-17,POR,L,105,111,39,85,.459,10,23,.435,17,22,.773,11,36,24,7,4,9,28
51,51,2002-02-19,BOS,L,108,109,42,80,.525,9,20,.450,15,19,.789,9,46,31,10,2,21,26
52,52,2002-02-21,CLE,W,104,97,43,86,.500,3,12,.250,15,22,.682,8,30,20,7,4,5,20
53,53,2002-02-22,CHH,W,96,94,36,77,.468,5,16,.313,19,29,.655,11,39,19,9,1,14,20
54,54,2002-02-24,NYK,W,107,91,42,87,.483,9,19,.474,14,19,.737,17,48,21,11,3,11,22
55,55,2002-02-26,MIL,W,99,89,36,80,.450,9,19,.474,18,26,.692,8,34,22,6,2,5,23
56,56,2002-02-27,MIN,L,101,112,38,83,.458,10,20,.500,15,21,.714,9,38,29,5,5,9,21
